exp,condition,participant,trialno,target,rotation_deg,reachdeviation_deg,phase
4,aiming,d8520c,19,82.5,0,6.7123793784414,baseline
4,aiming,d8520c,20,127.5,0,-2.9974089645333,baseline
4,aiming,d8520c,21,52.5,0,8.34924731515927,rotation
4,aiming,d8520c,22,127.5,0,20.1843919804308,rotation
4,aiming,d8520c,23,82.5,0,-0.85081537546529,rotation
4,aiming,d8520c,24,97.5,0,5.18473183733848,rotation
4,aiming,d8520c,25,52.5,0,-10.7344578965786,rotation
4,aiming,d8520c,26,127.5,0,-7.95287485998749,rotation
4,aiming,d8520c,27,67.5,0,-15.9590181842591,rotation
4,aiming,d8520c,28,112.5,0,3.76273150043434,rotation
4,aiming,d8520c,29,52.5,0,-2.94015428243237,rotation
4,aiming,d8520c,30,97.5,0,-11.068432991491,rotation
4,aiming,d8520c,31,82.5,0,-50.4375575473015,rotation
4,aiming,d8520c,32,127.5,0,-16.9606689957051,rotation
4,aiming,d8520c,33,127.5,0,-6.17873228799784,rotation
4,aiming,d8520c,34,37.5,0,-132.751401821851,rotation
4,aiming,d8520c,35,112.5,0,-16.5663099102661,rotation
4,aiming,d8520c,36,82.5,0,-14.1471819928429,rotation
4,aiming,d8520c,37,127.5,0,-26.6574299344344,rotation
4,aiming,d8520c,38,67.5,0,-32.741378920697,rotation
4,aiming,d8520c,39,112.5,0,-21.344909119504,rotation
4,aiming,d8520c,40,52.5,0,-25.4528397153391,rotation
4,aiming,d8520c,41,52.5,0,-36.9123925763621,rotation
4,aiming,d8520c,42,127.5,0,-33.931567008509,rotation
4,aiming,d8520c,43,67.5,0,-34.9854550900695,rotation
4,aiming,d8520c,44,112.5,0,-18.3271622143664,rotation
4,aiming,d8520c,45,112.5,0,-38.4102627918522,rotation
4,aiming,d8520c,46,37.5,0,-8.46536699332883,rotation
4,aiming,d8520c,47,82.5,0,-28.0746768329094,rotation
4,aiming,d8520c,48,127.5,0,-37.5,rotation
4,aiming,d8520c,49,127.5,0,-39.8805699379674,rotation
4,aiming,d8520c,50,52.5,0,-19.1723859392466,rotation
4,aiming,d8520c,51,97.5,0,-6.90460770679991,rotation
4,aiming,d8520c,52,82.5,0,153.004168709465,rotation
4,aiming,d8520c,53,52.5,0,-15.4593683493597,rotation
4,aiming,d8520c,54,82.5,0,153.488180862712,rotation
4,aiming,d8520c,55,127.5,0,23.3984206130432,rotation
4,aiming,d8520c,56,97.5,0,-6.91370952878265,rotation
4,aiming,d8520c,57,82.5,0,-15.0747104110675,rotation
4,aiming,d8520c,58,112.5,0,-22.5,rotation
4,aiming,d8520c,59,127.5,0,-21.3621022044022,rotation
4,aiming,d8520c,60,37.5,0,-10.4325458864331,rotation
4,aiming,d8520c,61,82.5,0,-15.6799622900308,rotation
4,aiming,d8520c,62,142.5,0,-15.4990936711828,rotation
