exp,condition,participant,trialno,aiming_target,rotation_deg,aimingdeviation_deg,arrow_offset,phase
4,aiming,2bef2b,51,105,45,-35,15,rotation
4,aiming,2bef2b,52,135,45,-41,15,rotation
4,aiming,2bef2b,53,75,45,-36,15,rotation
4,aiming,2bef2b,54,105,45,-33,15,rotation
4,aiming,2bef2b,55,45,45,-37,15,rotation
4,aiming,2bef2b,56,135,45,-37,15,rotation
4,aiming,2bef2b,57,45,45,-37,15,rotation
4,aiming,2bef2b,58,135,45,-35,15,rotation
4,aiming,2bef2b,59,105,45,-33,15,rotation
4,aiming,2bef2b,60,75,45,-30,15,rotation
4,aiming,2bef2b,61,105,45,-37,15,rotation
4,aiming,2bef2b,62,135,45,-36,15,rotation
4,aiming,2bef2b,63,75,45,-41,15,rotation
4,aiming,2bef2b,64,45,45,-29,15,rotation
4,aiming,2bef2b,65,135,45,-34,15,rotation
4,aiming,2bef2b,66,75,45,-35,15,rotation
4,aiming,2bef2b,67,45,45,-35,15,rotation
4,aiming,2bef2b,68,105,45,-30,15,rotation
4,aiming,2bef2b,69,75,45,-37,15,rotation
4,aiming,2bef2b,70,135,45,-35,15,rotation
4,aiming,2bef2b,71,45,45,-40,15,rotation
4,aiming,2bef2b,72,105,45,-39,15,rotation
4,aiming,2bef2b,73,45,45,-35,15,rotation
4,aiming,2bef2b,74,105,45,-44,15,rotation
4,aiming,2bef2b,75,75,45,-30,15,rotation
4,aiming,2bef2b,76,135,45,-24,15,rotation
4,aiming,2bef2b,77,75,45,-20,15,rotation
4,aiming,2bef2b,78,135,45,-25,15,rotation
4,aiming,2bef2b,79,105,45,-34,15,rotation
4,aiming,2bef2b,80,45,45,-34,15,rotation
4,aiming,2bef2b,81,45,45,-44,15,rotation
4,aiming,2bef2b,82,105,45,-33,15,rotation
4,aiming,2bef2b,83,135,45,-25,15,rotation
4,aiming,2bef2b,84,75,45,-37,15,rotation
4,aiming,2bef2b,85,45,45,-41,15,rotation
4,aiming,2bef2b,86,75,45,-39,15,rotation
4,aiming,2bef2b,87,105,45,-31,15,rotation
4,aiming,2bef2b,88,135,45,-38,15,rotation
4,aiming,2bef2b,89,105,45,-34,15,rotation
4,aiming,2bef2b,90,75,45,-36,15,rotation
4,aiming,2bef2b,91,135,45,-35,15,rotation
4,aiming,2bef2b,92,45,45,-40,15,rotation
4,aiming,2bef2b,93,75,45,-40,15,rotation
4,aiming,2bef2b,94,45,45,-36,15,rotation
4,aiming,2bef2b,95,135,45,-41,15,rotation
4,aiming,2bef2b,96,105,45,-37,15,rotation
4,aiming,2bef2b,97,75,45,-42,15,rotation
4,aiming,2bef2b,98,45,45,-38,15,rotation
4,aiming,2bef2b,99,135,45,-35,15,rotation
4,aiming,2bef2b,100,105,45,-45,15,rotation
4,aiming,2bef2b,101,45,45,-43,15,rotation
4,aiming,2bef2b,102,75,45,-38,15,rotation
4,aiming,2bef2b,103,105,45,-36,15,rotation
4,aiming,2bef2b,104,135,45,-41,15,rotation
4,aiming,2bef2b,105,135,45,-37,15,rotation
4,aiming,2bef2b,106,75,45,-42,15,rotation
4,aiming,2bef2b,107,105,45,-34,15,rotation
4,aiming,2bef2b,108,45,45,-52,15,rotation
4,aiming,2bef2b,109,45,45,-44,15,rotation
4,aiming,2bef2b,110,135,45,-48,15,rotation
4,aiming,2bef2b,111,105,45,-46,15,rotation
4,aiming,2bef2b,112,75,45,-56,15,rotation
4,aiming,2bef2b,113,135,45,-44,15,rotation
4,aiming,2bef2b,114,75,45,-49,15,rotation
4,aiming,2bef2b,115,105,45,-48,15,rotation
4,aiming,2bef2b,116,45,45,-37,15,rotation
4,aiming,2bef2b,117,105,45,-40,15,rotation
4,aiming,2bef2b,118,135,45,-49,15,rotation
4,aiming,2bef2b,119,75,45,-51,15,rotation
4,aiming,2bef2b,120,45,45,-41,15,rotation
4,aiming,307bc8,1,105,0,0,15,baseline
4,aiming,307bc8,2,45,0,0,15,baseline
4,aiming,307bc8,3,75,0,0,15,baseline
4,aiming,307bc8,4,135,0,0,15,baseline
4,aiming,307bc8,5,75,0,1,15,baseline
4,aiming,307bc8,6,105,0,0,15,baseline
4,aiming,307bc8,7,135,0,0,15,baseline
4,aiming,307bc8,8,45,0,0,15,baseline
4,aiming,307bc8,9,105,0,1,15,baseline
4,aiming,307bc8,10,75,0,0,15,baseline
4,aiming,307bc8,11,45,0,-1,15,baseline
4,aiming,307bc8,12,135,0,1,15,baseline
4,aiming,307bc8,13,105,0,0,15,baseline
4,aiming,307bc8,14,135,0,0,15,baseline
4,aiming,307bc8,15,75,0,0,15,baseline
4,aiming,307bc8,16,45,0,0,15,baseline
4,aiming,307bc8,17,105,0,0,15,baseline
4,aiming,307bc8,18,135,0,0,15,baseline
4,aiming,307bc8,19,75,0,1,15,baseline
4,aiming,307bc8,20,45,0,1,15,baseline
4,aiming,307bc8,21,105,45,0,15,rotation
4,aiming,307bc8,22,135,45,1,15,rotation
4,aiming,307bc8,23,45,45,NA,15,rotation
4,aiming,307bc8,24,75,45,-84,15,rotation
4,aiming,307bc8,25,105,45,-50,15,rotation
4,aiming,307bc8,26,75,45,-24,15,rotation
4,aiming,307bc8,27,45,45,-22,15,rotation
4,aiming,307bc8,28,135,45,-46,15,rotation
4,aiming,307bc8,29,105,45,-43,15,rotation
